datetime,duration_ms,status,keyword_status
2026-03-25T21:58:32+00:00,466,success,found
2026-03-25T22:38:29+00:00,136,success,found
2026-03-25T23:06:44+00:00,301,success,found
2026-03-25T23:48:33+00:00,314,success,found
2026-03-26T01:02:20+00:00,293,success,found
2026-03-26T03:52:14+00:00,159,success,found
2026-03-26T05:26:37+00:00,298,success,found
2026-03-26T06:43:27+00:00,296,success,found
2026-03-26T07:46:28+00:00,135,success,found
2026-03-26T08:35:04+00:00,338,success,found
2026-03-26T09:40:00+00:00,385,success,found
2026-03-26T10:34:33+00:00,332,success,found
2026-03-26T11:31:00+00:00,301,success,found
2026-03-26T12:09:22+00:00,195,success,found
2026-03-26T13:56:37+00:00,325,success,found
2026-03-26T15:01:10+00:00,152,success,found
2026-03-26T16:17:46+00:00,389,success,found
2026-03-26T17:30:54+00:00,196,success,found
2026-03-26T18:35:15+00:00,586,success,found
2026-03-26T19:41:35+00:00,272,success,found
2026-03-26T20:05:26+00:00,146,success,found
2026-03-26T20:48:37+00:00,168,success,found
2026-03-26T21:18:36+00:00,243,success,found
2026-03-26T21:48:52+00:00,240,success,found
2026-03-26T22:02:11+00:00,344,success,found
2026-03-26T22:41:49+00:00,307,success,found
2026-03-26T23:01:22+00:00,232,success,found
2026-03-26T23:41:27+00:00,345,success,found
2026-03-27T00:01:57+00:00,278,success,found
2026-03-27T03:24:15+00:00,309,success,found
